"";"title";"date";"rate";"average_rate"
"438";"Oko";"13 maja 2017";"6";6,2
"439";"Szko³a uwodzenia";"13 maja 2017";"6";6,7
"440";"Legalna blondynka 2";"13 maja 2017";"6";5,8
"441";"Legalna blondynka";"13 maja 2017";"6";6,1
"442";"Twój na zawsze";"13 maja 2017";"8";7,4
"443";"Most do Terabithii";"10 maja 2017";"6";7,3
"444";"Podró¿ na Tajemnicz¹ Wyspê";"10 maja 2017";"6";6,2
"445";"40 lat minê³o";"10 maja 2017";"7";5,8
"446";"Pierwszy raz";"10 maja 2017";"7";5,7
"447";"Ch³opaki do wziêcia";"10 maja 2017";"7";5,1
"448";"Ile wa¿y koñ trojañski?";"10 maja 2017";"5";6,2
"449";"Planeta Singli";"10 maja 2017";"7";7,1
"450";"Czekolada";"10 maja 2017";"7";7,5
"451";"Opowieœæ o dwóch siostrach";"10 maja 2017";"8";6,9
"452";"Faet";"10 maja 2017";"8";6,5
"453";"Pamiêtnik ksiê¿niczki 2: Królewskie zarêczyny";"10 maja 2017";"5";6,3
"454";"Pamiêtnik ksiê¿niczki";"10 maja 2017";"5";6,4
"455";"Ella zaklêta";"10 maja 2017";"5";6,2
"456";"Mi³oœæ i inne u¿ywki";"10 maja 2017";"8";6,8
"457";"Praktykant";"10 maja 2017";"7";7,2
"458";"Orzeszek";"10 maja 2017";"7";6,4
"459";"Siostry";"10 maja 2017";"7";5,8
"460";"Dziewczyny z dru¿yny 3";"10 maja 2017";"4";6,6
"461";"Kocham Ciê, Beth Cooper";"10 maja 2017";"6";5,7
"462";"Zebra z klas¹";"10 maja 2017";"6";6
"463";"Jak straciæ ch³opaka w 10 dni";"10 maja 2017";"8";6,8
"464";"Odrobina nieba";"10 maja 2017";"7";7
"465";"Œlubne wojny";"10 maja 2017";"8";6,3
"466";"Raj dla par";"10 maja 2017";"7";5,7
"467";"Sztuka zrywania";"10 maja 2017";"7";6,3
"468";"Szefowie wrogowie";"10 maja 2017";"7";6,5
"469";"Szefowie wrogowie 2";"10 maja 2017";"6";6,2
"470";"Dorwaæ by³¹";"10 maja 2017";"7";6,3
"471";"Brzydka prawda";"10 maja 2017";"7";6,9
"472";"Prawo zemsty";"10 maja 2017";"8";7,9
"473";"Sprawa siê ryp³a";"10 maja 2017";"7";7
"474";"Poszukiwany, poszukiwana";"10 maja 2017";"8";7,5
"475";"Nieuchwytny";"9 maja 2017";"7";6,7
"476";"Mistrz hipnozy";"8 maja 2017";"8";6,9
"477";"John Tucker musi odejœæ";"8 maja 2017";"6";6,4
"478";"Myœl jak facet";"8 maja 2017";"8";6,7
"479";"Kl¹twa Ju-on 2";"8 maja 2017";"7";6,7
"480";"Kl¹twa Ju-on";"8 maja 2017";"7";6,8
"481";"The Grudge - Kl¹twa";"8 maja 2017";"7";6,3
"482";"Grudge - Kl¹twa 2";"8 maja 2017";"7";5,9
"483";"Nieproszeni goœcie";"8 maja 2017";"8";6,9
"484";"Cube 2";"8 maja 2017";"6";5,9
"485";"Cube";"8 maja 2017";"7";7
"486";"In fondo al bosco";"8 maja 2017";"7";6,6
"487";"Tajemnice Manhattanu";"8 maja 2017";"7";6,1
"488";"Wiêzieñ labiryntu";"8 maja 2017";"8";7
"489";"Wiêzieñ labiryntu: Próby ognia";"8 maja 2017";"6";6,5
"490";"Dar";"8 maja 2017";"7";6,5
"491";"Mê¿czyzna idealny";"8 maja 2017";"7";6,6
"492";"Jak ukraœæ Ksiê¿yc";"8 maja 2017";"5";7,4
"493";"Minionki rozrabiaj¹";"8 maja 2017";"6";7,3
"494";"Tajmiaki";"7 maja 2017";"6";5,8
"495";"Przygody psa Balto";"7 maja 2017";"8";7,6
"496";"Randka z gwiazd¹";"7 maja 2017";"5";6,1
"497";"Bal maturalny";"7 maja 2017";"6";6
"498";"Split";"7 maja 2017";"8";7,3
"499";"Martyrs. Skazani na strach";"7 maja 2017";"8";6,3
"500";"Dzieñ œwira";"7 maja 2017";"7";7,8
"501";"Loft";"7 maja 2017";"8";6,5
"502";"Po³¹czenie";"7 maja 2017";"8";7,3
"503";"Aleksander - okropny, straszny, niezbyt dobry, bardzo z³y dzieñ";"7 maja 2017";"7";6,1
"504";"Gor¹ca laska";"7 maja 2017";"5";6,1
"505";"Króliczek";"7 maja 2017";"6";5,3
"506";"Ilu mia³aœ facetów?";"7 maja 2017";"7";6,3
"507";"Od sklepowej do królowej";"7 maja 2017";"5";6
"508";"High School Musical 3: Ostatnia klasa";"7 maja 2017";"5";5,3
"509";"High School Musical 2";"7 maja 2017";"6";5,2
"510";"Boska przygoda Sharpay";"7 maja 2017";"5";5,3
"511";"Straszny film 5";"7 maja 2017";"6";4,7
"512";"Straszny film 4";"7 maja 2017";"5";5,9
"513";"Straszny film 2";"7 maja 2017";"5";6,2
"514";"Straszny film";"7 maja 2017";"6";6,3
"515";"Notting Hill";"7 maja 2017";"5";7,1
"516";"Kadet Kelly";"7 maja 2017";"3";6,1
"517";"Szansa na sukces";"7 maja 2017";"5";6,7
"518";"Cinderella Story";"7 maja 2017";"5";6,5
"519";"Idealny facet";"7 maja 2017";"6";6,3
"520";"Piêkna i Teczka";"7 maja 2017";"6";5,7
"521";"Cztery wesela i pogrzeb";"7 maja 2017";"6";6,9
"522";"Dwa tygodnie na mi³oœæ";"7 maja 2017";"5";6,6
"523";"Uciekaj¹ca panna m³oda";"7 maja 2017";"6";6,3
"524";"Jedz, módl siê, kochaj";"7 maja 2017";"6";6,2
"525";"Dzieñ Matki";"7 maja 2017";"7";6,3
"526";"Akwamaryna";"7 maja 2017";"4";5,8
"527";"Hotel dla psów";"7 maja 2017";"7";6,4
"528";"Nowszy model";"7 maja 2017";"7";6,6
"529";"Gorzka siedemnastka";"7 maja 2017";"7";6,9
"530";"A w³aœnie, ¿e tak!";"6 maja 2017";"7";6,5
"531";"Zatañcz ze mn¹";"5 maja 2017";"6";6,3
"532";"Beethoven";"5 maja 2017";"8";6,2
"533";"Pachnid³o: Historia mordercy";"5 maja 2017";"8";7,4
"534";"Nigdy wiêcej";"5 maja 2017";"7";6,8
"535";"Powiedz tak";"5 maja 2017";"7";6,1
"536";"Plan B";"5 maja 2017";"7";6,3
"537";"Ch³opak z s¹siedztwa";"5 maja 2017";"8";5,5
"538";"Sposób na teœciow¹";"5 maja 2017";"7";6,6
"539";"Wredne dziewczyny 2";"5 maja 2017";"5";5,5
"540";"Cloverfield Lane 10";"5 maja 2017";"6";6,5
"541";"Lavender";"5 maja 2017";"7";5,5
"542";"Hush";"5 maja 2017";"6";6
"543";"Ups! Arka odp³ynê³a";"5 maja 2017";"5";5,9
"544";"Kobiety pragn¹ bardziej";"29 kwietnia 2017";"6";6,6
"545";"Wpadka";"29 kwietnia 2017";"6";6,1
"546";"Œmiertelna wyliczanka";"26 kwietnia 2017";"7";6,8
"547";"R.I.P.D. Agenci z zaœwiatów";"26 kwietnia 2017";"6";6
"548";"Jak to robi¹ single";"26 kwietnia 2017";"6";6,4
"549";"Zabójczy miesi¹c miodowy";"26 kwietnia 2017";"6";4,9
"550";"Pogrzebany";"25 kwietnia 2017";"7";6,6
"551";"Narzeczony mimo woli";"25 kwietnia 2017";"7";7,1
"552";"Zamiana cia³";"25 kwietnia 2017";"8";6,6
"553";"Amityville";"25 kwietnia 2017";"8";6,7
"554";"Zostañmy przyjació³mi";"25 kwietnia 2017";"8";6,3
"555";"Anio³ki Charliego";"25 kwietnia 2017";"6";5,7
"556";"Anio³ki Charliego: Zawrotna szybkoœæ";"25 kwietnia 2017";"6";5,5
"557";"Faceci w czerni";"25 kwietnia 2017";"6";7,1
"558";"Avengers";"25 kwietnia 2017";"7";7,5
"559";"Na psa urok";"25 kwietnia 2017";"5";5,7
"560";"Iron Man";"25 kwietnia 2017";"8";7,6
"561";"Mr. & Mrs. Smith";"25 kwietnia 2017";"7";6,7
"562";"Wspó³lokatorka";"25 kwietnia 2017";"8";5,9
"563";"Lokator";"25 kwietnia 2017";"8";6,3
"564";"Zbrukana";"25 kwietnia 2017";"7";6,2
"565";"Ciekawy przypadek Benjamina Buttona";"25 kwietnia 2017";"8";7,7
"566";"Noc oczyszczenia: Czas wyboru";"25 kwietnia 2017";"6";6
"567";"Shutter - Widmo";"25 kwietnia 2017";"8";7,1
"568";"Noc oczyszczenia";"25 kwietnia 2017";"8";5,8
"569";"Chloe";"25 kwietnia 2017";"7";6,4
"570";"Wszystko w porz¹dku";"25 kwietnia 2017";"8";6,6
"571";"Zostañ, jeœli kochasz";"25 kwietnia 2017";"6";7,1
"572";"Piorun";"25 kwietnia 2017";"7";6,7
"573";"Jak wytresowaæ smoka";"25 kwietnia 2017";"8";7,9
"574";"Stowarzyszenie Wêdruj¹cych D¿insów 2";"25 kwietnia 2017";"7";6,6
"575";"Stowarzyszenie Wêdruj¹cych D¿insów";"25 kwietnia 2017";"8";6,6
"576";"Nie oddychaj";"24 kwietnia 2017";"7";6,5
"577";"Tak to siê teraz robi";"24 kwietnia 2017";"7";6,4
"578";"Pasja";"24 kwietnia 2017";"8";7,4
"579";"Bracia";"24 kwietnia 2017";"8";7,5
"580";"Porwanie";"24 kwietnia 2017";"7";6,4
"581";"Fa³szywa dwunastka II";"24 kwietnia 2017";"7";6,8
"582";"Zmierzch";"24 kwietnia 2017";"6";5,6
"583";"Saga ""Zmierzch"": Przed œwitem. Czêœæ 2";"24 kwietnia 2017";"5";6
"584";"Saga ""Zmierzch"": Ksiê¿yc w nowiu";"24 kwietnia 2017";"5";5,5
"585";"Jeszcze wiêksze dzieci";"24 kwietnia 2017";"8";6,7
"586";"Fa³szywa dwunastka";"24 kwietnia 2017";"7";6,7
"587";"Nowo¿eñcy";"24 kwietnia 2017";"7";6,2
"588";"Zupe³nie jak mi³oœæ";"24 kwietnia 2017";"7";7
"589";"Amerykañskie ciacho";"24 kwietnia 2017";"7";5,6
"590";"Zombieland";"24 kwietnia 2017";"7";6,8
"591";"Duchy moich by³ych";"24 kwietnia 2017";"7";6,3
"592";"£atwa dziewczyna";"24 kwietnia 2017";"7";6,5
"593";"To tylko seks";"24 kwietnia 2017";"8";6,7
"594";"Regression";"24 kwietnia 2017";"8";6,3
"595";"Wszystko, co dobre";"24 kwietnia 2017";"8";6,6
"596";"Kocha, lubi, szanuje";"24 kwietnia 2017";"8";7,4
"597";"Avatar";"24 kwietnia 2017";"7";7,4
"598";"Jack i Jill";"23 kwietnia 2017";"7";5,2
"599";"50 pierwszych randek";"23 kwietnia 2017";"7";6,9
"600";"Klik: I robisz, co chcesz";"23 kwietnia 2017";"7";6,5
"601";"Ch³opiec w pasiastej pi¿amie";"23 kwietnia 2017";"9";8,1
"602";"Sk¹d wiesz?";"23 kwietnia 2017";"5";5,4
"603";"Trudne s³ówka";"23 kwietnia 2017";"8";6,7
"604";"Pañstwo m³odzi: Chuck i Larry";"23 kwietnia 2017";"8";6,6
"605";"Opowieœci na dobranoc";"23 kwietnia 2017";"8";6,7
"606";"¯ona na niby";"23 kwietnia 2017";"8";6,8
"607";"Czego pragnie dziewczyna";"23 kwietnia 2017";"6";6,2
"608";"Zanim zasnê";"23 kwietnia 2017";"7";6,7
"609";"Jak zostaæ królem";"23 kwietnia 2017";"8";7,8
"610";"To w³aœnie mi³oœæ";"23 kwietnia 2017";"7";7,6
"611";"Bridget Jones: W pogoni za rozumem";"23 kwietnia 2017";"7";6,8
"612";"Prosto w serce";"23 kwietnia 2017";"7";6,6
"613";"Siostry";"23 kwietnia 2017";"8";6,4
"614";"Holiday";"23 kwietnia 2017";"8";7,2
"615";"Z³a kobieta";"23 kwietnia 2017";"8";6
"616";"Inna kobieta";"23 kwietnia 2017";"8";6,6
"617";"Sekstaœma";"23 kwietnia 2017";"7";5,5
"618";"Mój ch³opak siê ¿eni";"23 kwietnia 2017";"7";6,5
"619";"Pi³a IV";"23 kwietnia 2017";"6";6
"620";"Pi³a II";"23 kwietnia 2017";"6";6,5
"621";"Pokojówka na Manhattanie";"23 kwietnia 2017";"7";5,9
"622";"Nie wierzcie bliŸniaczkom";"23 kwietnia 2017";"7";6,5
"623";"Wieczny student";"23 kwietnia 2017";"7";6,6
"624";"Wredne dziewczyny";"23 kwietnia 2017";"7";6,3
"625";"Pi³a III";"23 kwietnia 2017";"6";6,2
"626";"Piêædziesi¹t twarzy Greya";"23 kwietnia 2017";"5";4,5
"627";"Zakochana z³oœnica";"23 kwietnia 2017";"7";7,1
"628";"Hotel Transylwania";"23 kwietnia 2017";"7";7,2
"629";"Epoka lodowcowa 3: Era dinozaurów";"23 kwietnia 2017";"7";7
"630";"101 dalmatyñczyków";"23 kwietnia 2017";"8";6,4
"631";"Madagaskar 2";"23 kwietnia 2017";"7";7,1
"632";"Merida Waleczna";"23 kwietnia 2017";"7";7,1
"633";"Uniwersytet Potworny";"23 kwietnia 2017";"7";7,1
"634";"Gdzie jest Nemo?";"23 kwietnia 2017";"7";7,2
"635";"Epoka lodowcowa 4: Wêdrówka kontynentów";"23 kwietnia 2017";"7";6,9
"636";"Och, Karol 2";"23 kwietnia 2017";"6";4,9
"637";"Seks w wielkim mieœcie";"23 kwietnia 2017";"7";6,4
"638";"Diabe³ ubiera siê u Prady";"23 kwietnia 2017";"7";6,9
"639";"Kogel-mogel";"23 kwietnia 2017";"8";7,2
"640";"Bia³y Kie³";"23 kwietnia 2017";"7";7,3
"641";"Starsza pani musi znikn¹æ";"23 kwietnia 2017";"8";6,5
"642";"Oœwiadczyny po irlandzku";"23 kwietnia 2017";"6";6,7
"643";"Tylko Ciebie chcê";"23 kwietnia 2017";"7";7,3
"644";"Trzy metry nad niebem";"23 kwietnia 2017";"9";7,3
"645";"Po¿yczony narzeczony";"23 kwietnia 2017";"10";6,2
"646";"The Ring";"23 kwietnia 2017";"8";6,9
"647";"Zwierzêta nocy";"23 kwietnia 2017";"7";7,2
"648";"Pitbull. Nowe porz¹dki";"23 kwietnia 2017";"7";7,2
"649";"Mój brat niedŸwiedŸ";"23 kwietnia 2017";"8";7,4
"650";"Najd³u¿sza podró¿";"23 kwietnia 2017";"7";7,4
"651";"Dla ciebie wszystko";"23 kwietnia 2017";"8";7,3
"652";"Evan Wszechmog¹cy";"23 kwietnia 2017";"6";5,9
"653";"Ona to on";"23 kwietnia 2017";"7";6,5
"654";"Step Up 2";"23 kwietnia 2017";"7";6,8
"655";"Step Up - Taniec zmys³ów";"23 kwietnia 2017";"7";7
"656";"Wci¹¿ j¹ kocham";"23 kwietnia 2017";"9";7,3
"657";"I ¿e ciê nie opuszczê";"23 kwietnia 2017";"8";7,2
"658";"Magic Mike";"23 kwietnia 2017";"8";6
"659";"Don Jon";"23 kwietnia 2017";"7";5,9
"660";"Magic Mike XXL";"23 kwietnia 2017";"7";6,2
"661";"Titanic";"23 kwietnia 2017";"8";7,3
"662";"Czarodzieje z Waverly Place: Film";"23 kwietnia 2017";"7";6,1
"663";"Program ochrony Ksiê¿niczek";"23 kwietnia 2017";"7";5,9
"664";"Monte Carlo";"23 kwietnia 2017";"8";6,2
"665";"Kopciuszek: Roztañczona historia";"23 kwietnia 2017";"8";6,2
"666";"Igrzyska na kacu";"23 kwietnia 2017";"6";4
"667";"Mi³oœæ na zamówienie";"23 kwietnia 2017";"8";6,2
"668";"Kac Vegas";"23 kwietnia 2017";"8";7,3
"669";"Walentynki";"23 kwietnia 2017";"8";6,1
"670";"Kac Vegas w Bangkoku";"23 kwietnia 2017";"8";6,9
"671";"Miêdzy wierszami";"23 kwietnia 2017";"9";7,3
"672";"Ugotowany";"23 kwietnia 2017";"8";6,6
"673";"Poradnik pozytywnego myœlenia";"23 kwietnia 2017";"8";7,2
"674";"Igrzyska œmierci: W pierœcieniu ognia";"23 kwietnia 2017";"9";7,3
"675";"Igrzyska œmierci";"23 kwietnia 2017";"10";7,2
"676";"Igrzyska œmierci: Kosog³os. Czêœæ 1";"23 kwietnia 2017";"8";6,7
"677";"Igrzyska œmierci: Kosog³os. Czêœæ 2";"23 kwietnia 2017";"8";6,7
"678";"Hannah Montana. Film";"23 kwietnia 2017";"7";5,4
"679";"Tajna agentka";"23 kwietnia 2017";"7";6,1
"680";"LOL";"23 kwietnia 2017";"9";6,4
"681";"Ostatnia piosenka";"23 kwietnia 2017";"9";7,1
"682";"Snowden";"23 kwietnia 2017";"7";6,9
"683";"Blue Valentine";"23 kwietnia 2017";"8";7,3
"684";"Kevin sam w domu";"23 kwietnia 2017";"8";7,1
"685";"Borat: Podpatrzone w Ameryce, aby Kazachstan rós³ w si³ê, a ludzie ¿yli dostatniej";"23 kwietnia 2017";"7";6,3
"686";"Kevin sam w Nowym Jorku";"23 kwietnia 2017";"8";6,8
"687";"Listy do M.";"23 kwietnia 2017";"7";6,9
"688";"Na pewno, byæ mo¿e";"23 kwietnia 2017";"8";6,9
"689";"Charlie St. Cloud";"23 kwietnia 2017";"8";7
"690";"Sylwester w Nowym Jorku";"23 kwietnia 2017";"8";6,3
"691";"Ten niezrêczny moment";"23 kwietnia 2017";"7";6,3
"692";"We Are Your Friends";"23 kwietnia 2017";"8";6,3
"693";"S¹siedzi 2";"23 kwietnia 2017";"7";5,7
"694";"Randka na weselu";"23 kwietnia 2017";"8";6
"695";"High School Musical";"23 kwietnia 2017";"7";5,3
"696";"Szczêœciarz";"23 kwietnia 2017";"8";7,1
"697";"17 Again";"23 kwietnia 2017";"8";6,2
"698";"S¹siedzi";"23 kwietnia 2017";"8";6,1
"699";"Iluzja 2";"23 kwietnia 2017";"8";6,9
"700";"Sztuka dorastania";"23 kwietnia 2017";"8";6,7
"701";"Millerowie";"23 kwietnia 2017";"9";7,1
"702";"Nerve";"23 kwietnia 2017";"9";6,8
"703";"Bez smyczy";"23 kwietnia 2017";"7";6,1
"704";"By³ sobie pies";"23 kwietnia 2017";"10";7,8
"705";"Polowanie na druhny";"23 kwietnia 2017";"8";6,5
"706";"Sta¿yœci";"23 kwietnia 2017";"9";6,4
"707";"Ja, ty i on";"23 kwietnia 2017";"8";6,2
"708";"Marley i Ja";"23 kwietnia 2017";"10";7,2
"709";"22 Jump Street";"23 kwietnia 2017";"10";6,8
"710";"Charlie i fabryka czekolady";"23 kwietnia 2017";"6";7,1
"711";"Sekretne okno";"23 kwietnia 2017";"9";7,1
"712";"Turysta";"23 kwietnia 2017";"8";6,6
"713";"21 Jump Street";"23 kwietnia 2017";"10";7
"714";"Alicja po drugiej stronie lustra";"23 kwietnia 2017";"7";6,9
"715";"Alicja w Krainie Czarów";"23 kwietnia 2017";"8";7,1
"716";"Dick i Jane: Niez³y ubaw";"23 kwietnia 2017";"9";6,5
"717";"K³amca, k³amca";"23 kwietnia 2017";"9";6,8
"718";"Ja, Irena i Ja";"23 kwietnia 2017";"8";6,4
"719";"Jestem na tak";"23 kwietnia 2017";"8";7
"720";"Pan Popper i jego pingwiny";"23 kwietnia 2017";"7";6,3
"721";"G³upi i g³upszy bardziej";"23 kwietnia 2017";"8";5,6
"722";"G³upi i g³upszy";"23 kwietnia 2017";"8";6,1
"723";"Ace Ventura: Psi detektyw";"23 kwietnia 2017";"7";6,3
"724";"Bruce Wszechmog¹cy";"23 kwietnia 2017";"8";6,9
"725";"Piraci z Karaibów: Na nieznanych wodach";"23 kwietnia 2017";"8";7,4
"726";"Love, Rosie";"23 kwietnia 2017";"7";7,4
"727";"Iluzja";"23 kwietnia 2017";"9";7,4
"728";"Harry Potter i Zakon Feniksa";"23 kwietnia 2017";"10";7,5
"729";"Odlot";"23 kwietnia 2017";"7";7,5
"730";"Potwory i spó³ka";"23 kwietnia 2017";"7";7,5
"731";"Who Am I. Mo¿esz byæ kim chcesz";"23 kwietnia 2017";"9";7,7
"732";"Harry Potter i Ksi¹¿ê Pó³krwi";"23 kwietnia 2017";"10";7,5
"733";"Harry Potter i Kamieñ Filozoficzny";"23 kwietnia 2017";"10";7,5
"734";"Mustang z Dzikiej Doliny";"23 kwietnia 2017";"8";7,6
"735";"Szko³a uczuæ";"23 kwietnia 2017";"8";7,5
"736";"Zakochany kundel";"23 kwietnia 2017";"8";7,6
"737";"Jeden dzieñ";"23 kwietnia 2017";"8";7,5
"738";"Madagaskar";"23 kwietnia 2017";"8";7,5
"739";"Hooligans";"23 kwietnia 2017";"8";7,5
"740";"Harry Potter i Insygnia Œmierci: Czêœæ I";"23 kwietnia 2017";"10";7,5
"741";"Gnij¹ca panna m³oda";"23 kwietnia 2017";"7";7,5
"742";"Gwiazd naszych wina";"23 kwietnia 2017";"6";7,5
"743";"Hitch: Najlepszy doradca przeciêtnego faceta";"23 kwietnia 2017";"8";7
"744";"Jestem legend¹";"23 kwietnia 2017";"10";7,5
"745";"Charlie";"23 kwietnia 2017";"7";7,6
"746";"Matrix";"23 kwietnia 2017";"8";7,5
"747";"Harry Potter i Czara Ognia";"23 kwietnia 2017";"10";7,6
"748";"300";"23 kwietnia 2017";"8";7,5
"749";"Bez mojej zgody";"23 kwietnia 2017";"8";7,6
"750";"Kraina lodu";"23 kwietnia 2017";"7";7,6
"751";"Epoka lodowcowa";"23 kwietnia 2017";"8";7,6
"752";"Zapl¹tani";"23 kwietnia 2017";"7";7,6
"753";"Harry Potter i wiêzieñ Azkabanu";"23 kwietnia 2017";"10";7,7
"754";"Hobbit: Pustkowie Smauga";"23 kwietnia 2017";"7";7,6
"755";"Czarny ³abêdŸ";"23 kwietnia 2017";"7";7,7
"756";"Rzeka tajemnic";"23 kwietnia 2017";"9";7,7
"757";"Hobbit: Niezwyk³a podró¿";"23 kwietnia 2017";"8";7,6
"758";"Wilk z Wall Street";"23 kwietnia 2017";"8";7,7
"759";"Donnie Darko";"23 kwietnia 2017";"8";7,7
"760";"Dziewczyna z tatua¿em";"23 kwietnia 2017";"7";7,7
"761";"Jak wytresowaæ smoka 2";"23 kwietnia 2017";"7";7,7
"762";"Oszukana";"23 kwietnia 2017";"9";7,8
"763";"Piraci z Karaibów: Na krañcu œwiata";"23 kwietnia 2017";"8";7,7
"764";"Harry Potter i Insygnia Œmierci: Czêœæ II";"23 kwietnia 2017";"10";7,7
"765";"Piraci z Karaibów: Kl¹twa Czarnej Per³y";"23 kwietnia 2017";"8";7,7
"766";"Piraci z Karaibów: Skrzynia umarlaka";"23 kwietnia 2017";"8";7,8
"767";"Shrek";"23 kwietnia 2017";"8";7,8
"768";"Zaginiona dziewczyna";"23 kwietnia 2017";"9";7,8
"769";"Szósty zmys³";"23 kwietnia 2017";"8";7,8
"770";"Pokój";"23 kwietnia 2017";"8";7,9
"771";"Requiem dla snu";"23 kwietnia 2017";"8";7,8
"772";"Mój przyjaciel Hachiko";"23 kwietnia 2017";"10";8
"773";"Siedem dusz";"23 kwietnia 2017";"10";8
"774";"Infiltracja";"23 kwietnia 2017";"9";8
"775";"W³adca Pierœcieni: Dru¿yna Pierœcienia";"23 kwietnia 2017";"10";8
"776";"Bogowie";"23 kwietnia 2017";"9";8
"777";"Pamiêtnik";"23 kwietnia 2017";"9";8,1
"778";"Presti¿";"23 kwietnia 2017";"8";8,1
"779";"Wyspa tajemnic";"23 kwietnia 2017";"9";8,2
"780";"Król Lew";"23 kwietnia 2017";"9";8,2
"781";"Pianista";"23 kwietnia 2017";"9";8,3
"782";"Incepcja";"23 kwietnia 2017";"10";8,3
"783";"Piêkny umys³";"23 kwietnia 2017";"10";8,3
"784";"W³adca Pierœcieni: Dwie wie¿e";"23 kwietnia 2017";"10";8,3
"785";"W³adca Pierœcieni: Powrót króla";"23 kwietnia 2017";"10";8,4
"786";"Forrest Gump";"23 kwietnia 2017";"9";8,5
"787";"Niezgodna";"23 kwietnia 2017";"6";7,1
"788";"Dziewczyna z poci¹gu";"23 kwietnia 2017";"6";6,3
"789";"Ciemniejsza strona Greya";"23 kwietnia 2017";"7";5,1
"790";"Zwierzogród";"23 kwietnia 2017";"7";7,9
"791";"Fantastyczne zwierzêta i jak je znaleŸæ";"23 kwietnia 2017";"8";7,1
"792";"Pasa¿erowie";"23 kwietnia 2017";"7";6,7
"793";"Ukryte piêkno";"23 kwietnia 2017";"9";7,3
"794";"Dobrze siê k³amie w mi³ym towarzystwie";"23 kwietnia 2017";"8";7,7
"795";"Pitbull. Niebezpieczne kobiety";"23 kwietnia 2017";"6";6,5
"796";"Gdzie jest Dory";"23 kwietnia 2017";"5";7,1
"797";"Sekretne ¿ycie zwierzaków domowych";"23 kwietnia 2017";"7";6,5
"798";"Bridget Jones 3";"23 kwietnia 2017";"7";7,2
"799";"Czarnobyl. Reaktor strachu";"22 kwietnia 2017";"5";4,7
"800";"Kiedy gasn¹ œwiat³a";"22 kwietnia 2017";"7";6,2
"801";"Autopsja Jane Doe";"22 kwietnia 2017";"6";6,4
"802";"Annabelle";"22 kwietnia 2017";"6";5,7
"803";"Mama";"22 kwietnia 2017";"6";5,9
"804";"Naznaczony";"22 kwietnia 2017";"6";6,7
"805";"Obecnoœæ 2";"22 kwietnia 2017";"6";7,1
"806";"Obecnoœæ";"22 kwietnia 2017";"8";7,4
"807";"Ludzka stonoga 2";"22 kwietnia 2017";"4";3,6
"808";"Coœ za mn¹ chodzi";"22 kwietnia 2017";"4";5,6
"809";"Ani drgnij";"22 kwietnia 2017";"4";4,2
"810";"Babadook";"22 kwietnia 2017";"6";6
"811";"Koszmar z ulicy Wi¹zów";"22 kwietnia 2017";"7";6
"812";"Noc oczyszczenia: Anarchia";"22 kwietnia 2017";"7";6,3
"813";"Sinister 2";"22 kwietnia 2017";"6";5,8
"814";"Carrie";"22 kwietnia 2017";"5";5,5
"815";"Saga ""Zmierzch"": Przed œwitem. Czêœæ 1";"22 kwietnia 2017";"6";5,7
"816";"Pozwól mi wejœæ";"22 kwietnia 2017";"";6,2
"817";"Zbaw mnie ode z³ego";"22 kwietnia 2017";"";5
"818";"Nie bój siê ciemnoœci";"22 kwietnia 2017";"";5,2
"819";"Paranormal Activity 2";"22 kwietnia 2017";"";5,7
"820";"Krzyk 4";"22 kwietnia 2017";"";5,5
"821";"Oszukaæ przeznaczenie 5";"22 kwietnia 2017";"";5,7
"822";"Paranormal Activity 3";"22 kwietnia 2017";"";5,8
"823";"Zjawy";"22 kwietnia 2017";"";4,7
"824";"Silent Hill: Apokalipsa";"22 kwietnia 2017";"";5,1
"825";"Paranormal Activity 4";"22 kwietnia 2017";"";5,1
"826";"Raz dwa trzy umierasz ty";"22 kwietnia 2017";"";5,4
"827";"Dom w g³êbi lasu";"22 kwietnia 2017";"";5,5
"828";"Sinister";"22 kwietnia 2017";"8";6,8
"829";"Paranormal Activity: Naznaczeni";"22 kwietnia 2017";"";5
"830";"Martwe z³o";"22 kwietnia 2017";"";5,6
"831";"The Den";"22 kwietnia 2017";"";6,1
"832";"Oculus";"22 kwietnia 2017";"8";6,3
"833";"Kl¹twa Jessabelle";"22 kwietnia 2017";"";5,5
"834";"Poltergeist";"22 kwietnia 2017";"";4,5
"835";"Taœmy Watykanu";"22 kwietnia 2017";"";4,6
"836";"Paranormal Activity: Inny wymiar";"22 kwietnia 2017";"";5
"837";"Wizyta";"22 kwietnia 2017";"8";6,1
"838";"Las samobójców";"22 kwietnia 2017";"";5,1
"839";"Po tamtej stronie drzwi";"22 kwietnia 2017";"";5,4
"840";"The Boy";"22 kwietnia 2017";"";5,8
"841";"Friend Request";"22 kwietnia 2017";"";5,8
